epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.265,1.69652,1.35141,0.99622,0.37213,0.20854,0.18849,0.10321,1.62318,1.26577,0.97677,0.00333197,0.00333197,0.00333197
2,640.309,1.73363,1.38089,1.00275,0.35373,0.2017,0.18025,0.09802,1.65258,1.2981,0.98554,0.00653333,0.00653333,0.00653333
3,918.004,1.78677,1.43303,1.01548,0.37325,0.18372,0.1638,0.08819,1.69153,1.35705,0.99981,0.00960269,0.00960269,0.00960269
4,1203.25,1.80371,1.46445,1.02109,0.30286,0.19332,0.1706,0.09172,1.66608,1.33746,0.99088,0.009406,0.009406,0.009406
5,1491.16,1.77625,1.43699,1.01448,0.2775,0.20004,0.17463,0.09409,1.65639,1.31426,0.99497,0.009208,0.009208,0.009208
6,1770.22,1.75654,1.41884,1.01067,0.36295,0.19762,0.179,0.09817,1.63721,1.28514,0.98092,0.00901,0.00901,0.00901
7,2049.25,1.73277,1.39256,1.00591,0.30333,0.21255,0.18956,0.10378,1.61899,1.25707,0.97965,0.008812,0.008812,0.008812
8,2332.33,1.71488,1.369,1.00089,0.3234,0.21421,0.19284,0.10582,1.60818,1.24019,0.97387,0.008614,0.008614,0.008614
9,2612.51,1.7025,1.35213,0.99678,0.37377,0.21531,0.19625,0.10845,1.59012,1.22638,0.96927,0.008416,0.008416,0.008416
10,2898.81,1.69719,1.34209,0.99485,0.375,0.22253,0.20216,0.11143,1.58302,1.21757,0.96732,0.008218,0.008218,0.008218
11,3183.13,1.68638,1.32954,0.9912,0.33145,0.22752,0.20609,0.11406,1.56861,1.2006,0.96603,0.00802,0.00802,0.00802
12,3466.44,1.67417,1.31344,0.98872,0.38099,0.22499,0.20553,0.11436,1.56952,1.1953,0.96415,0.007822,0.007822,0.007822
13,3753.41,1.66923,1.31212,0.98799,0.33024,0.23257,0.21384,0.11902,1.55631,1.17606,0.96109,0.007624,0.007624,0.007624
14,4041.11,1.66195,1.29875,0.98541,0.39824,0.23302,0.21567,0.1202,1.54497,1.1657,0.9594,0.007426,0.007426,0.007426
15,4328.58,1.65423,1.28878,0.98313,0.3693,0.23761,0.22016,0.12276,1.53604,1.15664,0.9565,0.007228,0.007228,0.007228
16,4615.6,1.6496,1.28152,0.98262,0.34188,0.23709,0.22098,0.12351,1.53471,1.1497,0.95593,0.00703,0.00703,0.00703
17,4901.19,1.64328,1.27157,0.97974,0.35842,0.24342,0.22605,0.12603,1.52745,1.14102,0.95479,0.006832,0.006832,0.006832
18,5185.1,1.63458,1.2671,0.97824,0.34949,0.24553,0.22742,0.12703,1.5248,1.13454,0.95396,0.006634,0.006634,0.006634
19,5467.24,1.62868,1.25526,0.97751,0.37349,0.24621,0.2307,0.12932,1.51793,1.12629,0.95146,0.006436,0.006436,0.006436
20,5761.22,1.62611,1.25067,0.97676,0.40177,0.24353,0.23196,0.13021,1.51255,1.11761,0.95117,0.006238,0.006238,0.006238
21,6057.05,1.61811,1.24279,0.97412,0.36307,0.25067,0.23512,0.13157,1.50853,1.11262,0.94979,0.00604,0.00604,0.00604
22,6345.43,1.62092,1.24228,0.97375,0.37802,0.24998,0.23531,0.13221,1.50295,1.10979,0.94806,0.005842,0.005842,0.005842
23,6631.92,1.61057,1.23491,0.97172,0.36927,0.25119,0.23789,0.13432,1.49642,1.10223,0.94665,0.005644,0.005644,0.005644
24,6936.07,1.60536,1.22776,0.96989,0.35676,0.25564,0.23973,0.13511,1.49528,1.09662,0.94577,0.005446,0.005446,0.005446
25,7225.76,1.6032,1.22288,0.97047,0.37557,0.25432,0.24174,0.13634,1.49144,1.09248,0.94543,0.005248,0.005248,0.005248
26,7511.8,1.599,1.21741,0.96985,0.36834,0.25704,0.24337,0.13729,1.48913,1.08993,0.94454,0.00505,0.00505,0.00505
27,7804.28,1.59098,1.20717,0.96709,0.37159,0.25924,0.24545,0.13886,1.48528,1.08399,0.9434,0.004852,0.004852,0.004852
28,8092.6,1.59705,1.21203,0.96804,0.38349,0.25994,0.24612,0.13888,1.48372,1.08177,0.94269,0.004654,0.004654,0.004654
29,8391.01,1.58781,1.20333,0.96549,0.3689,0.261,0.24736,0.13969,1.48076,1.07839,0.94194,0.004456,0.004456,0.004456
30,8695.24,1.58204,1.19708,0.96395,0.37185,0.26151,0.24918,0.14066,1.47811,1.07533,0.94114,0.004258,0.004258,0.004258
31,9006.06,1.58002,1.19104,0.96371,0.36997,0.26337,0.25011,0.14139,1.47527,1.07178,0.94049,0.00406,0.00406,0.00406
32,9317.38,1.57412,1.18326,0.96324,0.3702,0.26496,0.25167,0.14219,1.4738,1.06835,0.93972,0.003862,0.003862,0.003862
33,9627.39,1.57588,1.18267,0.96304,0.36547,0.26379,0.25263,0.14303,1.4709,1.06493,0.93909,0.003664,0.003664,0.003664
34,9940.57,1.56817,1.17851,0.96052,0.3702,0.26631,0.25394,0.14388,1.46866,1.06271,0.93857,0.003466,0.003466,0.003466
35,10261.7,1.55829,1.16815,0.95939,0.36903,0.26663,0.25575,0.14478,1.46689,1.05945,0.93794,0.003268,0.003268,0.003268
36,10570.5,1.55416,1.16513,0.95805,0.36413,0.2695,0.25626,0.14502,1.46562,1.0578,0.93775,0.00307,0.00307,0.00307
37,10883.9,1.55393,1.16096,0.95702,0.36215,0.27334,0.25737,0.14586,1.46328,1.05508,0.93715,0.002872,0.002872,0.002872
38,11201.9,1.55337,1.15712,0.95651,0.36132,0.27343,0.25816,0.14621,1.46198,1.05302,0.93682,0.002674,0.002674,0.002674
39,11516.1,1.54846,1.15196,0.95515,0.36263,0.27365,0.25871,0.14671,1.4612,1.05111,0.93654,0.002476,0.002476,0.002476
40,11824.7,1.54563,1.1505,0.95643,0.36089,0.27527,0.2592,0.14711,1.4603,1.04998,0.93622,0.002278,0.002278,0.002278
41,12145.6,1.51241,1.10733,0.9558,0.36326,0.27568,0.25979,0.14742,1.45917,1.04865,0.9358,0.00208,0.00208,0.00208
42,12438.4,1.50601,1.09777,0.95469,0.3625,0.27554,0.26013,0.1476,1.45887,1.04762,0.93543,0.001882,0.001882,0.001882
43,12733.7,1.50016,1.09123,0.95162,0.36212,0.27623,0.26073,0.14802,1.45785,1.04595,0.93504,0.001684,0.001684,0.001684
44,13028.2,1.49333,1.08177,0.95041,0.36476,0.27655,0.26166,0.14847,1.45698,1.04422,0.93475,0.001486,0.001486,0.001486
45,13323.5,1.48972,1.07735,0.94967,0.36548,0.27724,0.2623,0.14893,1.45634,1.04304,0.93457,0.001288,0.001288,0.001288
46,13617.5,1.48416,1.07035,0.94818,0.3647,0.27799,0.26262,0.14919,1.45577,1.04174,0.93436,0.00109,0.00109,0.00109
47,13914.3,1.48121,1.06542,0.94827,0.36468,0.2787,0.26292,0.14935,1.45533,1.04067,0.9342,0.000892,0.000892,0.000892
48,14210.2,1.47212,1.05702,0.94585,0.36489,0.27945,0.26345,0.1496,1.45488,1.03969,0.93404,0.000694,0.000694,0.000694
49,14506.9,1.47395,1.05464,0.94548,0.36354,0.27989,0.26369,0.14981,1.45474,1.03895,0.93394,0.000496,0.000496,0.000496
50,14804.6,1.46987,1.05256,0.94444,0.36419,0.28014,0.26404,0.14991,1.45469,1.03843,0.93384,0.000298,0.000298,0.000298
